,loan_status
0,0.014394047670066357
1,0.020316991955041885
2,0.00644328398630023
3,0.0021217381581664085
4,0.0022313452791422606
5,0.005500398576259613
6,0.006054804194718599
7,0.07748238742351532
8,0.05234130099415779
9,0.0047079636715352535
10,0.00986980926245451
11,0.07820219546556473
12,0.06584062427282333
13,0.005298020783811808
14,0.011941424570977688
15,0.015899943187832832
16,0.08840024471282959
17,0.0006675243494100869
18,0.014105084352195263
19,0.0020982488058507442
20,0.003850693115964532
21,0.0034196004271507263
22,0.000885784684214741
23,0.017878873273730278
24,0.6259222030639648
25,0.0372500978410244
26,0.0005700301262550056
27,0.011578126810491085
28,0.001745128887705505
29,0.0028230100870132446
30,0.015971040353178978
31,0.013629846274852753
32,0.000698376796208322
33,0.018178965896368027
34,0.021338200196623802
35,0.05148494243621826
36,0.0030065348837524652
37,0.008871803060173988
38,0.5775290131568909
39,0.19662363827228546
40,0.00036445315345190465
41,0.0038583092391490936
42,0.0037751069758087397
43,0.007536911405622959
44,0.06310895085334778
45,0.22611764073371887
46,0.0005778135382570326
47,0.009558351710438728
48,0.285815954208374
49,0.025457067415118217
50,0.00247113942168653
51,0.08009664714336395
52,0.001970866462215781
53,0.012122436426579952
54,0.002331135794520378
55,0.9250518679618835
56,0.003209366463124752
57,0.0025614469777792692
58,0.9977312684059143
59,0.7321260571479797
60,0.31268027424812317
61,0.0006765975267626345
62,0.029232151806354523
63,0.010657497681677341
64,0.0006041071028448641
65,0.0015448337653651834
66,0.0023009725846350193
67,0.9999295473098755
68,0.9991852641105652
69,0.011009451933205128
70,0.0016060515772551298
71,0.003301359713077545
72,0.0697198286652565
73,0.03081413358449936
74,0.00059419812168926
75,0.00932210125029087
76,0.0006982719642110169
77,0.048429135233163834
78,0.0016451464034616947
79,0.0012807229068130255
80,0.008768546395003796
81,0.9995860457420349
82,0.015894334763288498
83,0.003833479480817914
84,0.012041956186294556
85,0.9953076243400574
86,0.0024003395810723305
87,0.9993926286697388
