,loan_status
0,0.01939050294458866
1,0.06440676003694534
2,0.007429283112287521
3,0.0066345976665616035
4,0.001836001523770392
5,0.012439807876944542
6,0.013254603371024132
7,0.013240066356956959
8,0.1423502266407013
9,0.002390557201579213
10,0.07708283513784409
11,0.2771231234073639
12,0.05866731330752373
13,0.01068888045847416
14,0.017628313973546028
15,0.041271764785051346
16,0.8488767147064209
17,0.0002922455605585128
18,0.013133502565324306
19,0.007730814628303051
20,0.0011230427771806717
21,0.024976307526230812
22,0.0021345384884625673
23,0.01821059361100197
24,0.7985530495643616
25,0.038326445966959
26,0.004424870479851961
27,0.023808926343917847
28,0.008337749168276787
29,0.0027311823796480894
30,0.010120011866092682
31,0.011794203892350197
32,0.001342932227998972
33,0.01667599193751812
34,0.01916504092514515
35,0.014406494796276093
36,0.0008014430059120059
37,0.007130551617592573
38,0.5769110321998596
39,0.33276674151420593
40,0.0013284125598147511
41,0.0011922131525352597
42,0.0025329082272946835
43,0.011487998999655247
44,0.034775376319885254
45,0.019710281863808632
46,0.003375000087544322
47,0.014754599891602993
48,0.1896589696407318
49,0.016904814168810844
50,0.008906125091016293
51,0.026549426838755608
52,0.010555043816566467
53,0.01371860783547163
54,0.0008275856962427497
55,0.7188499569892883
56,0.00942931231111288
57,0.0021446538157761097
58,0.9900179505348206
59,0.8165227770805359
60,0.19198563694953918
61,0.0005135818501003087
62,0.02310292236506939
63,0.00260800844989717
64,0.00019485101802274585
65,0.0007530230795964599
66,0.0012070656521245837
67,0.9828031063079834
68,0.999289870262146
69,0.024841468781232834
70,0.017523959279060364
71,0.001374606043100357
72,0.05499059334397316
73,0.024120206013321877
74,0.001004607300274074
75,0.020592661574482918
76,0.00257281051017344
77,0.01236182264983654
78,0.0031971510034054518
79,0.0006681816303171217
80,0.004353590775281191
81,0.957534909248352
82,0.009454906918108463
83,0.0020378432236611843
84,0.010049441829323769
85,0.9930349588394165
86,0.004159260541200638
87,0.9777137637138367
88,0.001996391685679555
89,0.02242482826113701
90,0.018625622615218163
91,0.01169648114591837
92,0.002134784357622266
93,0.005499167833477259
94,0.11238448321819305
95,0.0061501143500208855
96,0.009361561387777328
97,0.019170520827174187
98,0.7710148096084595
